budget_per_class,labeled_runs,pct_of_dev_labels,seed,fold,arm,F1macro,RootAlarmChrono,RootAlarmKB,RootAlarm_n
20,420,5.0,17,1,lookup,0.5120805886162365,0.34291876347951117,0.5873472322070453,1391
20,420,5.0,17,1,proposed,0.5052717106575221,0.30287769784172663,0.3683453237410072,1390
20,420,5.0,17,2,cnn,0.5046897556146396,,,0
20,420,5.0,17,2,lookup,0.5403461826877285,0.32447954055994255,0.6073223259152908,1393
20,420,5.0,17,2,proposed,0.5388909664254916,0.33094041636755206,0.3725771715721464,1393
20,420,5.0,17,3,cnn,0.4879258379191957,,,0
20,420,5.0,17,3,lookup,0.4956397402772289,0.4321167883211679,0.6153284671532847,1370
20,420,5.0,17,3,proposed,0.4948142665422828,0.4226277372262774,0.3722627737226277,1370
20,420,5.0,17,4,cnn,0.48903372345356305,,,0
20,420,5.0,17,4,lookup,0.5156848089928948,0.35018050541516244,0.5949458483754513,1385
20,420,5.0,17,4,proposed,0.510313709402118,0.3689530685920578,0.4490974729241877,1385
20,420,5.0,42,0,cnn,0.4951088610232819,,,0
20,420,5.0,42,0,lookup,0.5029832719382454,0.29909154437456326,0.610062893081761,1431
20,420,5.0,42,0,proposed,0.4990931390159119,0.283717679944095,0.3668763102725367,1431
20,420,5.0,42,1,cnn,0.49282803987501383,,,0
20,420,5.0,42,1,lookup,0.516853775003038,0.3345120226308345,0.5961810466760962,1414
20,420,5.0,42,1,proposed,0.515564462060817,0.3408769448373409,0.35431400282885434,1414
20,420,5.0,42,2,cnn,0.4757165336687531,,,0
20,420,5.0,42,2,lookup,0.46955209464508696,0.3354609929078014,0.6226950354609929,1410
20,420,5.0,42,2,proposed,0.4653026711193233,0.33900709219858155,0.39858156028368796,1410
20,420,5.0,42,3,cnn,0.5136435103725243,,,0
20,420,5.0,42,3,lookup,0.5422621409179749,0.4020542920029347,0.6104181951577403,1363
20,420,5.0,42,3,proposed,0.5350425958294597,0.42637362637362636,0.3706959706959707,1365
20,420,5.0,42,4,cnn,0.44275526928601683,,,0
20,420,5.0,42,4,lookup,0.4467299196999443,0.36749633967789164,0.6120058565153733,1366
20,420,5.0,42,4,proposed,0.4475675920835546,0.32650073206442165,0.3711566617862372,1366
40,840,10.0,5,0,cnn,0.5487636074520565,,,0
40,840,10.0,5,0,lookup,0.5699238558242945,0.32887899034892354,0.6191536748329621,1347
40,840,10.0,5,0,proposed,0.561239151840702,0.36674090571640683,0.3801039346696362,1347
40,840,10.0,5,1,cnn,0.5618174208203244,,,0
40,840,10.0,5,1,lookup,0.5843306879567162,0.3299344501092498,0.6183539694100509,1373
40,840,10.0,5,1,proposed,0.5764878909431781,0.3394027676620539,0.4071376547705754,1373
40,840,10.0,5,2,cnn,0.5482311816387692,,,0
40,840,10.0,5,2,lookup,0.5651632476458114,0.37564959168522644,0.6087602078693393,1347
40,840,10.0,5,2,proposed,0.5627701299652894,0.40578635014836795,0.3805637982195846,1348
40,840,10.0,5,3,cnn,0.5459187516781148,,,0
40,840,10.0,5,3,lookup,0.5789994874003088,0.3490224475018103,0.6249094858797972,1381
40,840,10.0,5,3,proposed,0.5753074028101683,0.32440260680666183,0.4786386676321506,1381
40,840,10.0,5,4,cnn,0.543631490158861,,,0
40,840,10.0,5,4,lookup,0.5698006276767095,0.3278335724533716,0.6097560975609756,1394
40,840,10.0,5,4,proposed,0.5643024577510081,0.3436154949784792,0.36226685796269725,1394
40,840,10.0,17,0,cnn,0.5218480699043611,,,0
40,840,10.0,17,0,lookup,0.543773717856925,0.3410237923576063,0.6070656092285508,1387
40,840,10.0,17,0,proposed,0.5404155854359187,0.34221902017291067,0.43011527377521624,1388
40,840,10.0,17,1,cnn,0.5336543250661621,,,0
